start_id,end_id
"15th Federated Conference on Computer Science and Information Systems, FedCSIS 2020","Proceedings of the 2020 Federated Conference on Computer Science and Information Systems, FedCSIS 2020"
"17th International Conference on Frontiers of Information Technology, FIT 2019","Proceedings - 2019 International Conference on Frontiers of Information Technology, FIT 2019"
"5th International Conference on Behavioral, Economic, and Socio-Cultural Computing, BESC 2018","Proceedings - 2018 5th International Conference on Behavioral, Economic, and Socio-Cultural Computing, BESC 2018"
"2021 IEEE Conference on Communications and Network Security, CNS 2021","2021 IEEE Conference on Communications and Network Security, CNS 2021"
"2022 Mining Software Repositories Conference, MSR 2022","Proceedings - 2022 Mining Software Repositories Conference, MSR 2022"
"2020 IEEE INFOCOM Conference on Computer Communications Workshops, INFOCOM WKSHPS 2020","IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops, INFOCOM WKSHPS 2020"
"2021 IEEE Globecom Workshops, GC Wkshps 2021","2021 IEEE Globecom Workshops, GC Wkshps 2021 - Proceedings"
"2019 IEEE International Conference on Big Data, Big Data 2019","Proceedings - 2019 IEEE International Conference on Big Data, Big Data 2019"
"17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018","Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018"
"7th International Conference on Computer and Communication Engineering, ICCCE 2018","Proceedings of the 2018 7th International Conference on Computer and Communication Engineering, ICCCE 2018"
"17th IEEE/ACM Workshop on Workflows in Support of Large-Scale Science, WORKS 2022","Proceedings of WORKS 2022: 17th Workshop on Workflows in Support of Large-Scale Science, Held in conjunction with SC 2022: The International Conference for High Performance Computing, Networking, Storage and Analysis"
"8th IEEE International Conference on Computing, Engineering and Design, ICCED 2022","2022 IEEE 8th International Conference on Computing, Engineering and Design, ICCED 2022"
"31st ACM International Conference on Information and Knowledge Management, CIKM 2022","International Conference on Information and Knowledge Management, Proceedings"
"2019 IEEE Intelligent Transportation Systems Conference, ITSC 2019","2019 IEEE Intelligent Transportation Systems Conference, ITSC 2019"
"2019 IEEE SmartWorld, Ubiquitous Intelligence and Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Internet of People and Smart City Innovation, SmartWorld/UIC/ATC/SCALCOM/IOP/SCI 2019","Proceedings - 2019 IEEE SmartWorld, Ubiquitous Intelligence and Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Internet of People and Smart City Innovation, SmartWorld/UIC/ATC/SCALCOM/IOP/SCI 2019"
"1st IEEE Global Emerging Technology Blockchain Forum: Blockchain and Beyond, iGETblockchain 2022","2022 IEEE 1st Global Emerging Technology Blockchain Forum: Blockchain and Beyond, iGETblockchain 2022"
"8th IEEE International Conference on Big Data, Big Data 2020","Proceedings - 2020 IEEE International Conference on Big Data, Big Data 2020"
"3rd International Conference on Signal Processing and Information Security, ICSPIS 2020","2020 3rd International Conference on Signal Processing and Information Security, ICSPIS 2020"
"26th ACM International Conference on Information and Knowledge Management, CIKM 2017","International Conference on Information and Knowledge Management, Proceedings"
"18th IEEE International Conference on Intelligence and Security Informatics, ISI 2020","Proceedings - 2020 IEEE International Conference on Intelligence and Security Informatics, ISI 2020"
"11th International Conference on Information and Communication Systems, ICICS 2020","2020 11th International Conference on Information and Communication Systems, ICICS 2020"
"14th International Conference on COMmunication Systems and NETworkS, COMSNETS 2022","2022 14th International Conference on COMmunication Systems and NETworkS, COMSNETS 2022"
"2022 IEEE Symposium Series on Computational Intelligence, SSCI 2022","Proceedings of the 2022 IEEE Symposium Series on Computational Intelligence, SSCI 2022"
"18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019","Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019"
"24th International Conference on Computer and Information Technology, ICCIT 2021","24th International Conference on Computer and Information Technology, ICCIT 2021"
"2021 IEEE International Conference on Big Data, Big Data 2021","Proceedings - 2021 IEEE International Conference on Big Data, Big Data 2021"
"3rd International Conference on Intelligent Engineering and Management, ICIEM 2022","Proceedings of 3rd International Conference on Intelligent Engineering and Management, ICIEM 2022"
"2019 IEEE Conference on Computational Intelligence for Financial Engineering and Economics, CIFEr 2019",CIFEr 2019 - IEEE Conference on Computational Intelligence for Financial Engineering and Economics
"2021 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2021","2021 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2021"
"12th International Conference on Computer Communication and Informatics, ICCCI 2022","2022 International Conference on Computer Communication and Informatics, ICCCI 2022"
"2020 World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2020","Proceedings of the World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2020"
"2012 eCrime Researchers Summit, eCrime 2012","eCrime Researchers Summit, eCrime"
"6th IEEE European Symposium on Security and Privacy, Euro S and P 2021","Proceedings - 2021 IEEE European Symposium on Security and Privacy, Euro S and P 2021"
"16th IEEE India Council International Conference, INDICON 2019","2019 IEEE 16th India Council International Conference, INDICON 2019 - Symposium Proceedings"
"2022 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2022","2022 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2022 - Proceedings"
"42nd IEEE International Conference on Distributed Computing Systems Workshops, ICDCSW 2022","Proceedings - 2022 IEEE 42nd International Conference on Distributed Computing Systems Workshops, ICDCSW 2022"
"2020 International Conference on Smart Electronics and Communication, ICOSEC 2020","Proceedings - International Conference on Smart Electronics and Communication, ICOSEC 2020"
"3rd International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2021","3rd International Conference on Artificial Intelligence in Information and Communication, ICAIIC 2021"
"2nd IEEE International Conference on Computational Intelligence and Knowledge Economy, ICCIKE 2021","Proceedings of 2nd IEEE International Conference on Computational Intelligence and Knowledge Economy, ICCIKE 2021"
"4th International Conference on Innovative Computing, ICIC 2021","4th International Conference on Innovative Computing, ICIC 2021"
"2nd IEEE/ACM International Symposium on Big Data Computing, BDC 2015","Proceedings - 2015 2nd IEEE/ACM International Symposium on Big Data Computing, BDC 2015"
"2020 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2020","2020 IEEE Asia-Pacific Conference on Computer Science and Data Engineering, CSDE 2020"
"2020 International Conference on Decision Aid Sciences and Application, DASA 2020","2020 International Conference on Decision Aid Sciences and Application, DASA 2020"
"43rd IEEE Symposium on Security and Privacy Workshops, SPW 2022","Proceedings - 43rd IEEE Symposium on Security and Privacy Workshops, SPW 2022"
"25th International Conference on Computer and Information Technology, ICCIT 2022","Proceedings of 2022 25th International Conference on Computer and Information Technology, ICCIT 2022"
"19th IEEE International Conference on Dependable, Autonomic and Secure Computing, 19th IEEE International Conference on Pervasive Intelligence and Computing, 7th IEEE International Conference on Cloud and Big Data Computing and 2021 International Conference on Cyber Science and Technology Congress, DASC/PiCom/CBDCom/CyberSciTech 2021","Proceedings - 2021 IEEE International Conference on Dependable, Autonomic and Secure Computing, International Conference on Pervasive Intelligence and Computing, International Conference on Cloud and Big Data Computing and International Conference on Cyber Science and Technology Congress, DASC/PiCom/CBDCom/CyberSciTech 2021"
"2023 IEEE International Conference on Software Services Engineering, SSE 2023","Proceedings - 2023 IEEE International Conference on Software Services Engineering, SSE 2023"
"2019 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2019","IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2019 - Proceedings"
"30th ACM International Conference on Information and Knowledge Management, CIKM 2021","International Conference on Information and Knowledge Management, Proceedings"
"2018 International Conference on Information and Communication Technology for the Muslim World, ICT4M 2018","Proceedings - International Conference on Information and Communication Technology for the Muslim World 2018, ICT4M 2018"
"2023 IEEE International Conference on Big Data, BigData 2023","Proceedings - 2023 IEEE International Conference on Big Data, BigData 2023"
"18th Conference on Computer Science and Intelligence Systems, FedCSIS 2023","Proceedings of the 18th Conference on Computer Science and Intelligence Systems, FedCSIS 2023"
"2022 IEEE International Conference on Big Data, Big Data 2022","Proceedings - 2022 IEEE International Conference on Big Data, Big Data 2022"
"2022 IEEE Conference on Communications and Network Security, CNS 2022","2022 IEEE Conference on Communications and Network Security, CNS 2022"
"2023 IEEE Symposium Series on Computational Intelligence, SSCI 2023","2023 IEEE Symposium Series on Computational Intelligence, SSCI 2023"
"2021 North American Power Symposium, NAPS 2021","2021 North American Power Symposium, NAPS 2021"
"10th International Conference on Digital Information Management, ICDIM 2015","The 10th International Conference on Digital Information Management, ICDIM 2015"
"2022 International Conference on Cyber Resilience, ICCR 2022","International Conference on Cyber Resilience, ICCR 2022"
"2018 APWG Symposium on Electronic Crime Research, eCrime 2018","eCrime Researchers Summit, eCrime"
"1st IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies, CHASE 2016","Proceedings - 2016 IEEE 1st International Conference on Connected Health: Applications, Systems and Engineering Technologies, CHASE 2016"
"2022 IEEE International Conference on Omni-Layer Intelligent Systems, COINS 2022","2022 IEEE International Conference on Omni-Layer Intelligent Systems, COINS 2022"
"2022 Annual Modeling and Simulation Conference, ANNSIM 2022","Proceedings of the 2022 Annual Modeling and Simulation Conference, ANNSIM 2022"
"5th IEEE International Conference on Big Data, Big Data 2017","Proceedings - 2017 IEEE International Conference on Big Data, Big Data 2017"
"7th IEEE International Conference on Smart Internet of Things, SmartIoT 2023","Proceedings - 2023 IEEE International Conference on Smart Internet of Things, SmartIoT 2023"
"27th International Conference on Automation and Computing, ICAC 2022","2022 27th International Conference on Automation and Computing: Smart Systems and Manufacturing, ICAC 2022"
"2nd International Conference on Signal Processing and Information Security, ICSPIS 2019","2019 2nd International Conference on Signal Processing and Information Security, ICSPIS 2019"
"5th IEEE International Conference on Blockchain, Blockchain 2022","Proceedings - 2022 IEEE International Conference on Blockchain, Blockchain 2022"
"18th International Symposium on Parallel and Distributed Computing, ISPDC 2019","Proceedings - 2019 18th International Symposium on Parallel and Distributed Computing, ISPDC 2019"
"52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop, DSN-W 2022","Proceedings - 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshop Volume, DSN-W 2022"
"2nd IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2022","2022 IEEE International Mediterranean Conference on Communications and Networking, MeditCom 2022"
"7th IEEE World Forum on Internet of Things, WF-IoT 2021","7th IEEE World Forum on Internet of Things, WF-IoT 2021"
"6th Conference on Data Science and Machine Learning Applications, CDMA 2020","Proceedings - 2020 6th Conference on Data Science and Machine Learning Applications, CDMA 2020"
"2021 IEEE International Conference on Cyber Security and Resilience, CSR 2021","Proceedings of the 2021 IEEE International Conference on Cyber Security and Resilience, CSR 2021"
"11th IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2019","Proceedings of the 2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2019"
"6th International Conference on Social Networks Analysis, Management and Security, SNAMS 2019","2019 6th International Conference on Social Networks Analysis, Management and Security, SNAMS 2019"
"2021 IEEE International Conference on Web Services, ICWS 2021","Proceedings - 2021 IEEE International Conference on Web Services, ICWS 2021"
"50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2020","Proceedings - 50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2020"
"19th Distributed Computing and Applications for Business Engineering and Science, DCABES 2020","Proceedings - 2020 19th Distributed Computing and Applications for Business Engineering and Science, DCABES 2020"
"51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2021","Proceedings - 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2021"
"2021 International Conference on Data Analytics for Business and Industry, ICDABI 2021","2021 International Conference on Data Analytics for Business and Industry, ICDABI 2021"
"17th IEEE International Conference on Smart Communities: Improving Quality of Life using ICT, IoT and AI, HONET 2020","HONET 2020 - IEEE 17th International Conference on Smart Communities: Improving Quality of Life using ICT, IoT and AI"
"23rd IEEE International Multi-Topic Conference, INMIC 2020","Proceedings - 2020 23rd IEEE International Multi-Topic Conference, INMIC 2020"
"6th International Conference on Operations Research and Enterprise Systems, ICORES 2017",ICORES 2017 - Proceedings of the 6th International Conference on Operations Research and Enterprise Systems
"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020","2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020"
"9th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies, BDCAT 2022","Proceedings - 2022 IEEE/ACM 9th International Conference on Big Data Computing, Applications and Technologies, BDCAT 2022"
"2016 IEEE/IFIP Network Operations and Management Symposium, NOMS 2016",Proceedings of the NOMS 2016 - 2016 IEEE/IFIP Network Operations and Management Symposium
"2021 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2021","2021 IEEE Conference on Network Function Virtualization and Software Defined Networks, NFV-SDN 2021 - Proceedings"
"5th International Conference on Cyber Security and Protection of Digital Services, Cyber Security 2019","2019 International Conference on Cyber Security and Protection of Digital Services, Cyber Security 2019"
"5th IEEE World Forum on Internet of Things, WF-IoT 2019","IEEE 5th World Forum on Internet of Things, WF-IoT 2019 - Conference Proceedings"
"2020 International Conference on Data Analytics for Business and Industry: Way Towards a Sustainable Economy, ICDABI 2020","2020 International Conference on Data Analytics for Business and Industry: Way Towards a Sustainable Economy, ICDABI 2020"
"15th IEEE International Symposium on Intelligent Systems and Informatics, SISY 2017","SISY 2017 - IEEE 15th International Symposium on Intelligent Systems and Informatics, Proceedings"
"2022 IEEE International Conference on Services Computing, SCC 2022","Proceedings - 2022 IEEE International Conference on Services Computing, SCC 2022"
"7th IEEE International Conference on Data Science and Advanced Analytics, DSAA 2020","Proceedings - 2020 IEEE 7th International Conference on Data Science and Advanced Analytics, DSAA 2020"
"4th IEEE International Congress on Internet of Things, ICIOT 2019","Proceedings - 2019 IEEE International Congress on Internet of Things, ICIOT 2019 - Part of the 2019 IEEE World Congress on Services"
"6th IEEE International Conference on Smart Computing, SMARTCOMP 2020","Proceedings - 2020 IEEE International Conference on Smart Computing, SMARTCOMP 2020"
"55th IEEE Conference on Decision and Control, CDC 2016","2016 IEEE 55th Conference on Decision and Control, CDC 2016"
"13th IEEE Annual Computing and Communication Workshop and Conference, CCWC 2023","2023 IEEE 13th Annual Computing and Communication Workshop and Conference, CCWC 2023"
"2019 UK/China Emerging Technologies, UCET 2019","2019 UK/China Emerging Technologies, UCET 2019"
"8th International Conference on Future Internet of Things and Cloud, FiCloud 2021","Proceedings - 2021 International Conference on Future Internet of Things and Cloud, FiCloud 2021"
"13th IEEE/ACM International Conference on Utility and Cloud Computing, UCC 2020","Proceedings - 2020 IEEE/ACM 13th International Conference on Utility and Cloud Computing, UCC 2020"
"2020 International Conference on Advances in Computing and Communication Engineering, ICACCE 2020","Proceedings of the 2020 International Conference on Advances in Computing and Communication Engineering, ICACCE 2020"
"2nd International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2022","2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering, ICACITE 2022"
"21st IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks, WoWMoM 2020","Proceedings - 21st IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks, WoWMoM 2020"
"33rd IEEE International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2019","Proceedings - 2019 IEEE 33rd International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2019"
"8th IEEE International Conference on Data Science and Advanced Analytics, DSAA 2021","2021 IEEE 8th International Conference on Data Science and Advanced Analytics, DSAA 2021"
"2019 International Conference on Advances in the Emerging Computing Technologies, AECT 2019","2019 International Conference on Advances in the Emerging Computing Technologies, AECT 2019"
"14th IEEE International Conference on Intelligence and Security Informatics, ISI 2015","IEEE International Conference on Intelligence and Security Informatics: Cybersecurity and Big Data, ISI 2016"
"23rd IEEE International Conference on Intelligent Transportation Systems, ITSC 2020","2020 IEEE 23rd International Conference on Intelligent Transportation Systems, ITSC 2020"
"27th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications, RTCSA 2021","Proceedings - 2021 IEEE 27th International Conference on Embedded and Real-Time Computing Systems and Applications, RTCSA 2021"
"2019 International Conference on Information Technologies, InfoTech 2019","2019 International Conference on Information Technologies, InfoTech 2019 - Proceedings"
"10th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2022","2022 10th International Conference on Agro-Geoinformatics, Agro-Geoinformatics 2022"
"7th IEEE/ACM Symposium on Edge Computing, SEC 2022","Proceedings - 2022 IEEE/ACM 7th Symposium on Edge Computing, SEC 2022"
"2023 International Symposium on Networks, Computers and Communications, ISNCC 2023","2023 International Symposium on Networks, Computers and Communications, ISNCC 2023"
"7th IEEE Global Conference on Signal and Information Processing, GlobalSIP 2019","GlobalSIP 2019 - 7th IEEE Global Conference on Signal and Information Processing, Proceedings"
"10th IEEE Swiss Conference on Data Science, SDS 2023","Proceedings - 2023 10th IEEE Swiss Conference on Data Science, SDS 2023"
"8th International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks, PEMWN 2019","2019 8th International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks, PEMWN 2019"
"2017 IEEE Workshop on Information Forensics and Security, WIFS 2017","2017 IEEE Workshop on Information Forensics and Security, WIFS 2017"
"14th IEEE International Conference on Computer Research and Development, ICCRD 2022","2022 IEEE 14th International Conference on Computer Research and Development, ICCRD 2022"
"2023 International Conference on Advances in Intelligent Computing and Applications, AICAPS 2023","2023 International Conference on Advances in Intelligent Computing and Applications, AICAPS 2023"
"2022 Global Information Infrastructure and Networking Symposium, GIIS 2022","2022 Global Information Infrastructure and Networking Symposium, GIIS 2022"
