name,year,city
"ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial",,Hamburg
"ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec",2023,Chicago
2022 Geoinformation Week: Broadening Geospatial Science and Technology,2022,"Virtual, Online"
"International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC",2023,Osaka
"International Conference on Recent Developments in Electronics and Communication Systems, RDECS",2022,Surampalem
"International Conference on Software and Information Engineering, ICSIE",2023,Sharm El-Sheikh
"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB",2023,Houston
"International Conference on Database Theory, ICDT",2018,Ioannina
"International Conference on Database Theory, ICDT",2019,Ioannina
"International Conference on Database Theory, ICDT",2020,Ioannina
"International Conference on Database Theory, ICDT",2021,Ioannina
"International Conference on Database Theory, ICDT",2022,Ioannina
"International Conference on Database Theory, ICDT",2023,Ioannina
"ACM Symposium on Cloud Computing, SoCC",2023,Santa Cruz
"International Symposium on High-Performance Parallel and Distributed Computing, HPDC",2023,Orlando
"ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN",2023,San Antonio
"European Conference on Computer Systems, EuroSys",2023,Rome
"CHI Conference on Human Factors in Computing Systems, CHI",2023,Hamburg
"International Symposium on Mobile Mapping Technology, MMT",2023,Padua
ICCPS,2023,San Antonio
"CoNEXT Student Workshop, CoNEXT-SW",,Paris
"2023 Genetic and Evolutionary Computation Conference Companion, GECCO 2023 Companion",2023,Lisbon
"International Conference on E-business, Management and Economics, ICEME",2023,Beijing
"International Conference on Theory and Practice of Electronic Governance, ICEGOV",2023,Belo Horizonte
"International Symposium on Visual Information Communication and Interaction, VINCI",2023,Guangzhou
"ACM ASIA Conference on Computer and Communications Security, ASIA CCS",2023,Melbourne
"International Symposium on Spatial and Temporal Data, SSTD",2023,Calgary
"Workshop on Simplicity in Management of Data, SiMoD",,Bellevue
"International Workshop on Data Management on New Hardware, DaMoN",2023,Seattle
"Workshop on Verifiable Database Systems, VDBS",,Seattle
"ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO",2023,Boston
"ACM Turing Award Celebration Conference, CHINA",2023,Wuhan
"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C",2023,Vasteras
"ACM/SIGMOD International Conference on Management of Data, SIGMOD",2023,Seattle
"2023 Free and Open Source Software for Geospatial, FOSS4G 2023",2023,Prizren
"29th CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future",2023,Florence
"International Conference on Extending Database Technology, EDBT",2023,Ioannina
"International Conference on Computer, Vision and Intelligent Technology, ICCVIT",2023,Chenzhou
"International Conference on Electronics, Computers and Communication Technology, CECCT",2023,Guilin
"World Wide Web Conference, WWW",2023,Austin
"Edition of the ACM Internet Measurement Conference, IMC",2023,Montreal
"Workshop on Hot Topics in Operating Systems, HotOS",2023,Providence
"International Conference on Computing Education Research, Koli Calling",2023,"Hybrid, Koli"
"ACM International Systems and Software Product Line Conference, SPLC",2023,Tokyo
"International Database Engineered Applications Symposium, IDEAS",2023,Heraklion
"ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP",2023,Montreal
"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD",2023,Long Beach
"ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP",2024,Edinburgh
"ACM Symposium on Operating Systems Principles, SOSP",2023,Koblenz
"ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data, GeoSearch",,Hamburg
"International Conference on Intelligent User Interfaces, IUI",2023,Sydney
"International Conference of the Greece ACM SIGCHI Chapter, CHIGreece",2023,Athens
"ACM SIGSAC Conference on Computer and Communications Security, CCS",2023,Copenhagen
"ACM International Conference on Multimedia, MM",2023,Ottawa
"International Symposium on Mathematical Foundations of Computer Science, MFCS",2023,Bordeaux
"ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE",2023,San Francisco
"ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS",2023,Hamburg
"ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA",2023,Seattle
"ACM Conference on Hypertext and Social Media, HT",2023,Rome
"Annual ACM Symposium on Applied Computing, SAC",2023,Tallinn
"International Conference on Bioinformatics and Intelligent Computing, BIC",2023,Sanya
"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS",2023,Seattle
"ACM SIGIR Conference on Human Information Interaction and Retrieval, CHIIR",2023,Austin
- Co-located with SIGMOD,,Seattle
"Workshop on Data Management for End-To-End Machine Learning, DEEM",,Seattle
"International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR",2023,Taipei
"ACM Technical Symposium on Computer Science Education, SIGCSE",2023,Toronto
"ACM International Conference on Supercomputing, ICS",2023,Orlando
"ACM International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS",2023,Vancouver
"International Conference of the Biometrics Special Interest Group, BIOSIG",2023,Darmstadt
"International Conference on Control Systems, Mathematical Modeling, Automation and Energy Efficiency, SUMMA",2023,Lipetsk
"International Conference on Computers, Information Processing and Advanced Education, CIPAE",2023,Ottawa
"IEEE Conference on Dependable and Secure Computing, DSC",2023,Tampa
"Annual ACM Symposium on Theory of Computing, STOC",2023,Orlando
"IEEE International Conference on Smart Cloud, SmartCloud",2023,Tokyo
"Annual IEEE Global Humanitarian Technology Conference, GHTC",2023,Radnor
"Annual Conference of the Society of Instrument and Control Engineers, SICE",2023,Tsu
"IEEE International Conference on e-Business Engineering, ICEBE",2023,Sydney
"International Conference on Innovative Sustainable Computational Technologies, CISCT",2023,Dehradun
"IEEE International Conference on Intelligent Technology and Embedded Systems, ICITES",2023,Huzhou
"International Conference on Data Analytics, Computing and Artificial Intelligence, ICDACAI",2023,Zakopane
"International Conference on Electronics and Devices, Computational Science, ICEDCS",2023,Marseille
"IEEE High Performance Extreme Computing Conference, HPEC",2023,"Virtual, Online"
"IEEE International Conference of Computer Science and Information Technology, ICOSNIKOM",2023,"Hybrid, Binjia"
"International Conference on Radar, Antenna, Microwave, Electronics, and Telecommunications, ICRAMET",2023,"Virtual, Online"
"Computing in Cardiology, CinC",2023,Atlanta
"IEEE Asia Pacific Conference on Wireless and Mobile, APWiMob",2023,Bali
"International Conference on Applied Computational Intelligence in Information Systems, ACIIS",2023,Bandar Seri Begawan
"IEEE International Workshop on Mechatronics Systems Supervision, IW_MSS",2023,Hammamet
"International Symposium on Medical Information Processing and Analysis, SIPAIM",2023,Mexico City
"IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA",2023,Kuala Lumpur
"International Conference on Intelligent Systems: Theories and Applications, SITA",2023,Casablanca
Findings of the Association for Computational Linguistics: EMNLP,2023,Singapore
"International Workshop on Social Communication and Information Activity in Digital Humanities, SCIA",,Lviv
"International Conference on Informatics and Data-Driven Medicine, IDDM",2023,Bratislava
"ACM SIGSPATIAL International Workshop on Geospatial Humanities, GeoHumanities",,Hamburg
"3rd International Conference on Machine Learning and Big Data Analytics for IoT Security and Privacy, SPIoT2023",2023,
"International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN",2023,"Hybrid,Coimbatore"
15th ITG Conference on Speech Communication,2023,Aachen
