journal_name,year
Computers and Electronics in Agriculture,2021
IEEE Transactions on Computers,2021
Systems and Soft Computing,2021
Astronomy and Computing,2022
Journal of the ACM,2023
Computational Toxicology,2021
Journal of Biomedical Informatics,2021
Pattern Recognition,2022
IEEE Transactions on Services Computing,2022
Neural Computing and Applications,2022
Quantum Information Processing,2023
"Signal, Image and Video Processing",2023
Computer-Aided Design and Applications,2023
Data Science and Management,2024
IEEE Transactions on Image Processing,2024
Industrial Robot,2024
Biomedical Signal Processing and Control,2024
IEEE Intelligent Transportation Systems Magazine,2024
Communications of the ACM,2024
Journal of Information Technology in Construction,2024
IEEE Transactions on Multimedia,2024
Machine Intelligence Research,2024
ACM International Conference Proceeding Series,2024
Virtual Reality,2024
Eurasip Journal on Advances in Signal Processing,2024
Multimedia Systems,2024
Applied Intelligence,2024
IEEE Transactions on Smart Grid,2024
ACM Transactions on Privacy and Security,2024
BMC Bioinformatics,2024
Displays,2024
IEEE Network,2024
International Journal of Image and Graphics,2024
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,2024
Journal of the Association for Information Science and Technology,2024
Journal of Manufacturing Technology Management,2024
"IEEE Transactions on Biometrics, Behavior, and Identity Science",2024
Computer Standards and Interfaces,2024
Soft Computing,2024
International Journal of Electronic Security and Digital Forensics,2024
Journal of The Institution of Engineers (India): Series B,2024
IEEE Transactions on Dependable and Secure Computing,2024
Evolutionary Intelligence,2024
Scalable Computing,2024
IEEE Journal of Biomedical and Health Informatics,2024
Journal of Big Data,2024
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2024
Statistical Analysis and Data Mining,2024
Applied Mathematics and Nonlinear Sciences,2024
Computational and Structural Biotechnology Journal,2024
IEEE Transactions on Network Science and Engineering,2024
Expert Systems with Applications,2024
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",2024
Energy and AI,2024
IEEE Transactions on Pattern Analysis and Machine Intelligence,2024
Computers and Geotechnics,2024
IEEE Access,2024
IEEE Transactions on Learning Technologies,2024
Journal of the Franklin Institute,2024
CAD Computer Aided Design,2024
IEEE Transactions on Knowledge and Data Engineering,2024
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,2024
Journal of Mathematical Imaging and Vision,2024
Sensors,2024
Cognitive Computation,2024
Control Engineering Practice,2024
International Journal of Neural Systems,2024
Journal of Cyber Security and Mobility,2024
International Journal of Advanced Robotic Systems,2024
Neural Networks,2024
IEEE Transactions on Information Theory,2024
Information (Switzerland),2024
"Circuits, Systems, and Signal Processing",2024
Computers in Biology and Medicine,2024
IEEE Transactions on Artificial Intelligence,2024
VLDB Journal,2024
Journal of Electronic Science and Technology,2024
IEEE Transactions on Medical Imaging,2024
Journal of Chemical Information and Modeling,2024
Microprocessors and Microsystems,2024
IEEE Internet Computing,2024
Information Sciences,2024
Computational Materials Science,2024
Speech Communication,2024
npj Digital Medicine,2024
Intelligent Systems with Applications,2024
Computer Methods and Programs in Biomedicine,2024
IEEE Transactions on Industrial Informatics,2024
Medical Image Analysis,2024
Data Science and Engineering,2024
Knowledge and Information Systems,2024
Computers and Geosciences,2024
Computer Vision and Image Understanding,2024
Journal of Visual Communication and Image Representation,2024
Advanced Engineering Informatics,2024
IEEE/ACM Transactions on Networking,2024
IEEE Latin America Transactions,2024
Journal of Intelligent and Fuzzy Systems,2024
Journal of Molecular Graphics and Modelling,2024
Connection Science,2024
International Journal of Intelligent Robotics and Applications,2024
Multimedia Tools and Applications,2024
Knowledge-Based Systems,2024
Evolving Systems,2024
IEEE Transactions on Big Data,2024
IEEE Transactions on Information Forensics and Security,2024
Future Generation Computer Systems,2024
Engineering with Computers,2024
VINE Journal of Information and Knowledge Management Systems,2024
npj Computational Materials,2024
IEEE Transactions on Computational Social Systems,2024
Computer Physics Communications,2024
AIMS Electronics and Electrical Engineering,2024
Engineering Applications of Artificial Intelligence,2024
IEEE Transactions on Human-Machine Systems,2024
Cognitive Systems Research,2024
IEEE Internet of Things Journal,2024
